N,P,K,temperature,humidity,ph,rainfall,label,irrigation_requirement
29.16,37.96,31.06,18.53,54.56,5.75,89.04,coffee,1.88
34.95,39.48,26.16,25.66,68.85,6.29,119.48,coffee,3.2
30.89,49.26,26.51,20.93,54.51,5.7,68.45,coffee,2.2
32.45,45.63,36.57,19.18,66.22,6.14,83.29,coffee,0.8
33.48,35.2,31.9,25.34,55.81,5.97,113.41,coffee,4.29
34.15,31.24,27.95,18.06,62.62,5.95,68.06,coffee,0.52
39.16,40.59,29.84,22.0,63.59,5.58,76.48,coffee,1.77
36.14,39.19,35.93,21.46,50.88,5.67,86.73,coffee,3.09
24.18,31.0,41.87,25.85,65.86,6.35,74.52,coffee,2.66
39.21,33.94,44.03,25.96,64.23,6.48,94.17,coffee,3.25
25.19,38.74,36.87,18.58,62.45,6.48,71.41,coffee,0.76
55.85,58.16,59.16,24.6,67.82,7.47,160.58,wheat,3.81
43.23,49.54,55.77,17.47,69.61,7.0,113.02,wheat,0.54
51.3,55.43,52.48,15.12,60.14,6.54,174.1,wheat,2.0
44.57,52.69,48.33,18.22,72.72,7.09,107.63,wheat,0.35
48.57,40.58,52.21,21.62,61.78,6.43,131.83,wheat,2.95
58.39,59.87,45.67,22.61,65.58,6.59,160.34,wheat,3.43
58.37,59.02,53.66,18.57,71.81,6.38,145.13,wheat,1.29
47.17,53.13,48.61,16.92,73.77,6.15,140.48,wheat,0.51
44.42,40.78,45.54,16.75,73.0,6.42,176.04,wheat,1.25
51.63,48.73,53.7,20.17,71.38,6.42,128.24,wheat,1.48
57.88,58.93,58.39,19.19,71.71,6.71,139.8,wheat,1.38
44.09,51.82,47.79,18.32,72.83,6.31,105.69,wheat,0.33
41.38,58.82,52.6,19.09,72.16,7.25,126.58,wheat,1.04
53.87,55.42,54.82,16.52,73.14,6.81,122.6,wheat,0.09
48.5,40.75,46.92,22.66,60.0,6.62,141.8,wheat,3.63
41.09,59.46,48.39,18.04,64.56,6.35,100.12,wheat,0.96
54.59,59.34,48.36,21.63,71.13,7.27,133.81,wheat,2.05
46.06,46.51,55.69,23.17,62.72,6.56,172.16,wheat,4.12
56.13,59.7,56.31,18.93,68.86,6.99,106.28,wheat,0.92
50.89,54.19,47.51,22.81,68.76,7.43,103.39,wheat,2.03
45.31,52.03,49.45,22.14,71.39,6.15,141.11,wheat,2.33
50.18,47.39,58.99,23.28,70.46,7.07,136.94,wheat,2.68
58.42,53.89,55.93,23.62,64.11,7.21,115.62,wheat,2.99
46.91,46.71,59.68,23.57,70.52,7.09,144.97,wheat,2.92
58.94,49.93,50.71,16.63,71.79,7.1,130.75,wheat,0.42
40.5,56.78,45.17,22.04,74.55,6.66,118.8,wheat,1.53
54.1,56.34,53.2,24.67,60.78,6.76,157.48,wheat,4.47
57.25,43.59,57.0,20.53,65.95,6.2,169.22,wheat,2.95
43.15,46.2,49.35,23.71,70.09,7.2,120.04,wheat,2.51
52.5,51.43,57.49,24.06,60.18,7.01,104.15,wheat,3.28
50.98,45.75,49.6,18.53,69.32,6.5,158.62,wheat,1.8
48.09,41.37,56.76,17.86,66.49,7.03,126.6,wheat,1.24
41.13,47.48,59.17,21.42,70.07,6.95,115.92,wheat,1.74
48.37,55.02,46.52,17.78,64.14,6.65,178.43,wheat,2.49
41.35,50.37,47.69,24.71,61.7,6.61,159.03,wheat,4.42
54.09,48.45,50.2,18.98,63.96,6.31,138.64,wheat,2.07
45.37,45.75,54.85,24.69,69.05,6.12,106.05,wheat,2.62
59.03,45.95,46.38,20.99,69.35,6.97,121.39,wheat,1.79
40.3,59.3,48.76,21.76,70.6,6.92,125.03,wheat,1.97
45.42,51.95,57.99,24.47,61.59,6.23,175.58,wheat,4.69
54.73,57.66,48.04,20.88,70.52,7.02,132.65,wheat,1.86
40.31,51.66,48.8,19.5,74.36,6.6,167.18,wheat,1.76
43.77,53.45,59.66,16.02,60.12,6.65,107.41,wheat,0.94
54.97,58.29,51.51,17.59,66.52,7.09,100.72,wheat,0.64
51.79,52.27,54.57,17.42,70.71,6.14,115.94,wheat,0.47
57.55,54.77,45.21,17.48,63.22,6.41,119.8,wheat,1.32
41.25,49.18,55.99,21.07,70.09,6.12,176.12,wheat,2.83
56.77,56.1,57.34,24.33,68.16,6.3,149.34,wheat,3.47
54.86,54.76,52.82,15.68,65.57,7.38,146.76,wheat,1.08
50.77,45.38,50.53,23.95,70.0,7.18,136.35,wheat,2.91
52.6,44.97,55.58,19.28,66.64,6.97,174.9,wheat,2.62
41.28,56.49,49.39,19.44,60.33,6.45,140.21,wheat,2.6
41.12,49.82,58.91,16.05,71.47,6.61,152.41,wheat,0.72
45.2,43.19,47.41,15.7,62.78,7.0,170.54,wheat,1.84
56.28,53.7,46.66,17.89,64.65,6.37,141.2,wheat,1.73
50.71,47.14,50.31,23.29,71.84,6.46,173.1,wheat,3.26
59.06,46.53,50.32,20.06,74.12,7.31,108.21,wheat,0.77
47.85,51.07,52.55,16.94,72.88,7.02,167.03,wheat,1.13
57.18,54.97,51.59,21.11,62.41,7.01,114.34,wheat,2.38
53.88,44.59,46.76,16.65,60.03,7.08,158.59,wheat,2.16
50.3,43.23,46.25,15.19,62.49,7.34,119.32,wheat,0.7
47.09,42.11,48.34,20.19,69.12,6.37,104.62,wheat,1.24
47.82,44.68,48.29,24.6,69.24,6.84,133.26,wheat,3.12
48.58,50.82,55.45,22.02,62.58,6.75,132.96,wheat,3.01
57.41,52.63,52.99,16.15,69.08,6.18,126.98,wheat,0.48
42.86,53.84,48.09,18.92,73.44,6.31,140.62,wheat,1.14
48.39,40.36,56.89,15.69,67.11,6.84,150.27,wheat,1.0
53.77,45.07,45.15,22.23,68.03,7.25,165.71,wheat,3.18
56.87,49.7,50.0,22.92,66.77,6.28,168.4,wheat,3.57
57.65,49.33,46.14,18.88,72.05,7.35,116.28,wheat,0.78
41.34,57.55,50.84,20.42,74.52,6.1,151.87,wheat,1.71
41.48,47.51,57.06,19.33,74.96,6.84,125.69,wheat,0.82
44.4,47.01,50.59,15.69,65.54,6.7,157.82,wheat,1.31
53.13,54.18,45.13,17.18,69.93,6.73,100.43,wheat,0.17
56.09,55.46,53.23,15.66,71.5,6.88,162.56,wheat,0.8
55.03,56.06,52.77,16.4,70.07,6.93,159.38,wheat,1.1
43.4,43.9,58.36,22.5,73.62,7.14,147.77,wheat,2.34
53.08,57.78,53.68,21.32,62.35,6.71,157.31,wheat,3.31
45.42,44.05,49.71,17.42,63.22,6.64,172.63,wheat,2.35
50.14,43.76,46.15,21.96,65.74,7.23,152.76,wheat,3.07
55.92,45.44,55.39,17.64,74.09,6.95,125.96,wheat,0.4
45.39,43.82,55.42,17.19,68.93,6.4,152.96,wheat,1.32
56.3,55.56,56.41,16.88,61.33,7.05,129.47,wheat,1.52
48.65,40.62,48.89,15.34,73.19,6.37,144.59,wheat,0.17
40.78,53.34,49.85,23.98,73.32,6.49,172.08,wheat,3.3
59.92,56.51,57.67,17.49,68.65,6.1,107.59,wheat,0.53
59.98,46.53,56.22,23.07,72.87,7.5,119.32,wheat,2.02
40.81,48.22,46.95,15.22,65.41,7.18,145.29,wheat,0.93
46.26,53.09,48.48,15.14,71.47,6.94,160.98,wheat,0.62
40.78,56.74,54.29,20.63,69.37,7.3,146.95,wheat,2.19
51.62,59.81,56.35,19.42,70.61,6.58,118.31,wheat,1.13
51.94,58.56,58.94,18.42,67.92,6.32,179.65,wheat,2.33
59.62,52.99,57.07,22.15,68.9,6.08,136.38,wheat,2.48
53.5,53.55,50.6,24.42,62.51,6.75,155.27,wheat,4.18
53.94,52.97,49.13,16.56,69.54,6.9,114.35,wheat,0.3
54.1,49.1,55.02,23.37,62.55,6.03,162.33,wheat,4.0
52.19,53.99,57.57,23.03,74.41,6.8,139.08,wheat,2.25
48.04,43.07,53.59,17.77,73.82,6.87,147.43,wheat,0.9
47.1,41.04,45.48,19.23,61.27,6.91,170.48,wheat,3.05
57.66,53.18,48.17,23.63,73.29,6.29,158.99,wheat,2.94
